"mvq", "XOR", "chf", "z05"
"chf", "AND", "mvq", "pnn"
"nqp", "OR", "gqt", "ddt"
"pnn", "OR", "ntm", "ttr"
"kvq", "XOR", "ttr", "z06"
"jqk", "XOR", "vnc", "z40"
"kjf", "OR", "ftk", "sqn"
"mwb", "XOR", "sbr", "z09"
"x42", "XOR", "y42", "vvg"
"x09", "XOR", "y09", "mwb"
"x19", "AND", "y19", "scf"
"x16", "AND", "y16", "gqt"
"pgd", "AND", "wjd", "dqf"
"fjc", "OR", "wdj", "jnh"
"x37", "XOR", "y37", "fpb"
"dqr", "XOR", "wnt", "z34"
"x11", "XOR", "y11", "thj"
"shh", "OR", "kcq", "sjk"
"jwp", "OR", "dvc", "qhc"
"sjr", "OR", "jrk", "tfq"
"x20", "AND", "y20", "ssw"
"jqp", "AND", "vkp", "fdv"
"thj", "AND", "fgd", "ngq"
"ccb", "OR", "kfg", "tqd"
"x07", "XOR", "y07", "dgg"
"nmt", "OR", "jrg", "sjq"
"y40", "AND", "x40", "tcf"
"x02", "AND", "y02", "rgb"
"x15", "AND", "y15", "chh"
"gqn", "XOR", "sjq", "pfw"
"bhc", "AND", "fqq", "jvk"
"hsk", "OR", "kwq", "kdv"
"chh", "OR", "mqf", "pht"
"x00", "AND", "y00", "mcg"
"hhp", "AND", "hhg", "kbm"
"cph", "OR", "qjc", "nff"
"jnh", "XOR", "bdw", "z28"
"y06", "AND", "x06", "qjc"
"y30", "AND", "x30", "kfg"
"y21", "AND", "x21", "kcq"
"vgs", "AND", "skh", "bmg"
"qgg", "AND", "bmw", "jwp"
"chn", "XOR", "jjk", "z25"
"y34", "XOR", "x34", "wnt"
"sjk", "XOR", "dpc", "z22"
"y11", "AND", "x11", "hqj"
"kbg", "XOR", "tcv", "z30"
"pww", "AND", "pvw", "mvv"
"hqj", "OR", "ngq", "qgg"
"x23", "AND", "y23", "cpq"
"jnh", "AND", "bdw", "qhb"
"y04", "AND", "x04", "ggg"
"x25", "AND", "y25", "thm"
"x34", "AND", "y34", "fbd"
"pqk", "XOR", "srh", "z02"
"y43", "AND", "x43", "gvv"
"kkk", "OR", "rgb", "gkk"
"jvk", "OR", "drq", "smj"
"pww", "XOR", "pvw", "z24"
"tcv", "AND", "kbg", "ccb"
"wtw", "OR", "scf", "vcp"
"x03", "AND", "y03", "ngs"
"dqr", "AND", "wnt", "cgq"
"tsf", "AND", "kpk", "tjr"
"y18", "AND", "x18", "hsk"
"y26", "XOR", "x26", "dtk"
"y44", "XOR", "x44", "hhg"
"x10", "XOR", "y10", "wjp"
"kvq", "AND", "ttr", "cph"
"y35", "XOR", "x35", "bhc"
"wsw", "OR", "dqf", "pvj"
"jsq", "XOR", "vcj", "shh"
"pdf", "OR", "npr", "vkp"
"y12", "AND", "x12", "dvc"
"fsg", "XOR", "fdh", "z14"
"dwf", "XOR", "rbf", "z32"
"y24", "XOR", "x24", "pww"
"sqn", "AND", "fmd", "mqf"
"x35", "AND", "y35", "drq"
"wjp", "AND", "dvh", "bdf"
"smj", "AND", "tww", "ddk"
"hrm", "AND", "jhc", "kwq"
"jvv", "AND", "jww", "kff"
"pvt", "AND", "gkk", "pwn"
"hhg", "XOR", "hhp", "z44"
"kdv", "XOR", "ntj", "z19"
"y23", "XOR", "x23", "jww"
"sdg", "OR", "trv", "dvh"
"fdh", "AND", "fsg", "ftk"
"x01", "XOR", "y01", "vcn"
"y29", "AND", "x29", "ghw"
"hsg", "XOR", "dct", "z08"
"kff", "OR", "cpq", "pvw"
"ddt", "AND", "nhg", "vft"
"ggv", "OR", "thm", "skh"
"mcg", "XOR", "vcn", "z01"
"y41", "AND", "x41", "wsw"
"x14", "XOR", "y14", "fsg"
"y13", "AND", "x13", "rgp"
"rgp", "OR", "crm", "fdh"
"srh", "AND", "pqk", "kkk"
"tcf", "OR", "cpp", "pgd"
"y03", "XOR", "x03", "pvt"
"x33", "AND", "y33", "mtw"
"dgg", "AND", "nff", "gqk"
"y30", "XOR", "x30", "kbg"
"y07", "AND", "x07", "dvs"
"x44", "AND", "y44", "spc"
"y38", "AND", "x38", "nmt"
